"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"unifiVapTxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxPackets",".1.3.6.1.4.1.41112.1.6.1.2.1.19","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTxRetries",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxRetries",".1.3.6.1.4.1.41112.1.6.1.2.1.20","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTxPower",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxPower",".1.3.6.1.4.1.41112.1.6.1.2.1.21","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapUp",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapUp",".1.3.6.1.4.1.41112.1.6.1.2.1.22","INTEGER","read-only","","UBNT-UniFi-MIB",""
"unifiVapUsage",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapUsage",".1.3.6.1.4.1.41112.1.6.1.2.1.23","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB","guest or regular user"
"unifiApIf",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf",".1.3.6.1.4.1.41112.1.6.2",,,"","UBNT-UniFi-MIB",""
"unifiIfTable",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable",".1.3.6.1.4.1.41112.1.6.2.1","SEQUENCE OF UbntIfEntry","not-accessible","","UBNT-UniFi-MIB",""
"unifiIfEntry",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry",".1.3.6.1.4.1.41112.1.6.2.1.1","UbntIfEntry","not-accessible","unifiIfIndex","UBNT-UniFi-MIB","Ethernet interface"
"unifiIfIndex",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfIndex",".1.3.6.1.4.1.41112.1.6.2.1.1.1","Integer32","not-accessible","","UBNT-UniFi-MIB",""
"unifiIfFullDuplex",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfFullDuplex",".1.3.6.1.4.1.41112.1.6.2.1.1.2","INTEGER","read-only","","UBNT-UniFi-MIB",""
